United States,40-50,Male,Spaces,11+ years,Embedded application developer,Windows 7,,,,,C,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$100,000 - $120,000",110000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,Building something that matters,,,Somewhat important,,,,Interesting companies rarely respond,,Taking time off work to interview,The interview process,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Hate,I don't have an account,I don't have an account,Hate,,,,Team I would be working with isædescribed,,Salary information is provided,Benefits / perks of the work environment are described,,,Benefits,,,Office location,,,Details about the product or project I'd be working on,Tolerate,Hate,Great,Great,Tolerate,,,Offer remote interviews (ie. via video conference),,,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,0,1-2 hours per week,Once a month,,"Qt IDE, or CodeWrite, if I could still get it.",Light,,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,To maintain an online presence,,,,,,Sometimes,It feels good to help a programmer in need,,,,I feel a sense of responsibility to the developer community,,,
N/A,< 20,Male,Tabs,1 - 2 years,Embedded application developer,Mac OS X,,,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PhD in Computer Science (or related field),,,,Employed full-time,Media / Advertising,I hate my job,Other,I rarely work remote,No (I'm a student),I am actively looking for a new job,,,,,Industry,,,,,,,Office location,,,,,,,Very important,,,,Interesting companies rarely respond,,,,A few times a week,I wish more recruiters contacted me!,Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goodæselection of relevant jobs,,,,,,,,,Dark,,,,,,,,,,,,,,,,Because I can't do my job without it,,,,,,,Sometimes,,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
Germany,25-29,Male,Spaces,2 - 5 years,Embedded application developer,Windows 8,,,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,Rust,,,,,,,,,,,D,,,,C,C++,C++11,,,,,,,,,Go,,Haskell,,,,,,,,,,,,,,,Rust,,,,,,,,,,,D,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Media / Advertising,I love my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,,,Ability to make or influence important decisions,,,,,,Work/life balance,Opportunity for advancement,,,,,,,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,,Writing my CV and keeping it updated,Taking time off work to interview,,Rarely,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Great,Great,Tolerate,I don't have an account,Message is personalized,,Stack Overflow activity is mentioned,,,Salary information is provided,,,Salary,,,Tech stack,Office location,,,,Hate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,,,Show me the space in which I will work,Fewer brainteasers,,No spam from recruiters,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,Because the jobs ads are right there on Stack Overflow,,1,10-20 hours per week,Multipleætimes a day,Vim,,I don't use an IDE,Git,,,,,,,,,I don't use source control,,Git,,,To give help to others,Because I can't do my job without it,To maintain an online presence,To demonstrate that I'm good at what I do,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Always,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,
Italy,30-34,Male,It depends,2 - 5 years,Embedded application developer,Mac OS X,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,microchip xc8 C,,Arduino / Raspberry Pi,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"Less than $20,000",10000,Freelance / Contractor,Media / Advertising,Other (please specify),"I influence purchasing decisions, but don't have final approval",I rarely work remote,Yes,I am open to new job opportunities,Salary,,Ability to make or influence important decisions,,,,,,,,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,Interesting companies rarely respond,Writing my CV and keeping it updated,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,I don't have an account,I don't have an account,Great,Hate,I don't have an account,Hate,,Code or projects I've worked on are referenced,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,,,,Job title,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,4,1-2 hours per week,Once a week,,for coding eclipse IDE,Dark,,,,,,,,,,I don't use source control,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Sometimes,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
United Kingdom,30-34,Male,Spaces,6 - 10 years,Embedded application developer,Ubuntu,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$100,000 - $120,000",110000,Employed full-time,Media / Advertising,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,,,,Office location,,,,Building something that matters,,,Somewhat important,,,Searching for a job that seems interesting,,,,The interview process,A few times a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Hate,Tolerate,I don't have an account,Hate,Tolerate,I don't have an account,I don't have an account,Message is personalized,,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,,Office location,,,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,,,Introduce me to the boss,Introduce me to the team,,Show me the space in which I will work,,,No spam from recruiters,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,0,2-5 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,
United States,30-34,Male,Spaces,11+ years,Embedded application developer,Mac OS X,,,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$120,000 - $140,000",130000,Employed full-time,Media / Advertising,I'm somewhat satisfied with my job,I can recommend or request products,Full-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,,,,,Company culture,Company reputation,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,,,,,,About once a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Tolerate,Great,I don't have an account,Hate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,Salary,,Company name,Tech stack,Office location,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,,,,,,,,,,,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,5,2-5 hours per week,Multipleætimes a day,Emacs,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,
United States,51-60,Male,It depends,11+ years,Embedded application developer,Fedora,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bash,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Media / Advertising,I'm neither satisfied nor dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,,,,,,,,,,,,Office location,Quality of colleagues,Company culture,,,,,Somewhat important,Finding time to job search,Finding an open job that I'm qualified for,,,,,The interview process,Rarely,I wish more recruiters contacted me!,Tolerate,Great,I don't have an account,Hate,I don't have an account,I don't have an account,I don't have an account,Message is personalized,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,,,,,,,,Office location,,,,Hate,Tolerate,Great,Great,Great,,,,Introduce me to the boss,Introduce me to the team,,,Fewer brainteasers,,,,,,,,4,1-2 hours per week,Once a month,Vim,,Light,,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,,,,,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,
N/A,> 60,Other,Huh?,11+ years,Embedded application developer,Windows 7,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C++,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Freelance / Contractor,Not Currently Employed,I hate my job,I have no say in purchasing what I need or want at work,I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,,Opportunity for advancement,Job title,,,,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,,Writing my CV and keeping it updated,,The interview process,Never,I wish more recruiters contacted me!,Great,Great,Hate,Great,Hate,Hate,Great,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,,,Job title,,,Hate,Hate,Hate,Tolerate,Great,,,,,,Offer me a decent cup of coffee,,Fewer brainteasers,Prepare me for who I will be speaking with,,,,,,,More than 10,None,Once a week,NotePad++,,Light,,,,,,,,,,I don't use source control,,BitKeeper,,,,,,,,To receive help onæmy personal projects,,,Rarely,,,,,,,"I don't answer much (or at all), and I don't want to",
Australia,35-39,Male,Spaces,11+ years,Embedded application developer,,,Android,Arduino / Raspberry Pi,,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,Windows Phone,,,Android,Arduino / Raspberry Pi,AngularJS,C,C++,C++11,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$140,000 - $160,000",150000,Employed full-time,Other (please specify),I'm neither satisfied nor dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,,,,,,,,Building something that matters,,Flexible work hours,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,20-24,Male,It depends,Less than 1 year,Embedded application developer,Ubuntu,,,,,C,C++,C++11,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,C,C++,C++11,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Other (please specify),I love my job,I can recommend or request products,Part-time Remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,Quality of colleagues,,,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,25-29,Male,Spaces,6 - 10 years,Embedded application developer,Ubuntu,,,,,,C++,C++11,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,,Python,,,,,,,,,,,,,,,,,,,C,C++,C++11,,,,,,,,,,,,,Java,,LAMP,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,"Intensive code ""boot-camp"" or night school","Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$60,000 - $80,000",70000,Employed full-time,Other (please specify),I'm somewhat satisfied with my job,I have a discretionary budget at my disposal,Part-time Remote,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,,Office location,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Never,"Please, make the recruiter spamŒæstop",Tolerate,I don't have an account,I don't have an account,Tolerate,Tolerate,I don't have an account,Tolerate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,Salary,,Company name,,Office location,Job title,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,Other,2,2-5 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
