What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
Other Europe,,25-29,2/5/2013,Software Products,26-100,Back-End Web Developer,16-30,4/8/2013,System Administrators,Designers,,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,,,iPhone,iPad,,,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,20+ hours,1-2 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,Java,JavaScript,,,,,,,,SQL,,,,,,,,,,MongoDB,,,Windows 7,Somewhat Important,Don't Care,Somewhat Important,Very Important,Non-Negotiable,Very Important,Not Very Important,Somewhat Important,Very Important,Not Very Important,Somewhat Important,Don't Care,Very Important,Very Important,Not Very Important,Not Very Important,Yes,I enjoy going to work,"$20,000 - $40,000",,Android,,,iPad,,,,,,,,,,$100-$250,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,none,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,25-29,2/5/2013,Web Services,26-100,Full-Stack Web Developer,16-30,1/3/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,,Customers,,Human Resources,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,2-5 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,2-5 hours,1-2 hours,2-5 hours,I can recommend or request products,,,,,No Involvement,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,,,CoffeeScript,,,,,Redis,MongoDB,,PhoneGap,Linux,Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Yes,I enjoy going to work,"$60,000 - $80,000",,Android,,,iPad,,,,,,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,"Ad for SO Careers, others do not remember,",3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Answer questions which interest me and I don't know the answer to completely. This can also mean I will find an answer to a problem because of this question.
India,,20-24,<2,Software Products,1/25/2013,Full-Stack Web Developer,1/5/2013,Just me!,,,,,,,,Customers,,,,,Android phone,,,,,,Direct sales to consumers,,,,,,,2-5 hours,2-5 hours,1-2 hours,,,,,,,,,I can buy anything I want without asking anyone,,,,,,Software,,,,"<$1,000",,,,Java,,,,,,PHP,,,,,,,,,,,,,,,PhoneGap,Windows XP,Somewhat Important,Not Very Important,,Very Important,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,No,Hate my job,"<$20,000",,Android,,,,,,,,,,,,,<$100,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Blackberry Development,500,,,Answer questions I know the answer to,
Italy,,< 20,11,Web Services,3001,Mobile Application Developer,100,15,,,,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,,,,,iPad,,Android tablet,Blackberry,,,,,,Software as a service / recurring billing,Mobile app sales,Consulting,,,None,None,,1-2 hours,,1-2 hours,,,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,No Involvement,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,25-29,2/5/2013,Software Products,101-999,Mobile Application Developer,100,9/15/2013,,Designers,Product Managers,,,,Consultants,,,,iPhone,iPad,Android phone,Android tablet,,Other,,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,,,10-20 hours,5-10 hours,5-10 hours,2-5 hours,5-10 hours,10-20 hours,2-5 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,C#,,,,,,Objective-C,,,,,,,,,,,,,,,,,Mac OS X,Somewhat Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Not Very Important,Somewhat Important,Very Important,Don't Care,Not Very Important,Very Important,Very Important,Non-Negotiable,Yes,Love my job,"<$20,000",iPhone,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Agree,Agree,Disagree,Disagree,,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,20-24,2/5/2013,Software Products,1/25/2013,IT Staff / System Administrator,6/15/2013,Just me!,System Administrators,,Product Managers,,,Sales / Marketing,,,,,,,,,,,,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,,,,,5-10 hours,2-5 hours,1-2 hours,1-2 hours,None,2-5 hours,2-5 hours,None,I can recommend or request products,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",,,,Java,JavaScript,jQuery,,,,,Python,,SQL,Django,,,,,,,,,,,,Mac OS X,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Not Very Important,Not Very Important,Very Important,Somewhat Important,Non-Negotiable,No,Love my job,"<$20,000",iPhone,,,,iPad,,,,,,,Xbox,,Raspberry Pi,$100-$250,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Agree,,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,30-34,6/10/2013,Other,26-100,IT Staff / System Administrator,31-50,1/3/2013,,,,,Technical Support,,,,,,,,,,,,,,,,,,,,,2-5 hours,1-2 hours,1-2 hours,,,,,,,,,,,No Involvement,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,Redis,MongoDB,,,Linux,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,,,Very Important,,,,,Very Important,Somewhat Important,Yes,Love my job,,,Android,,,,,,,,,,,,,$251-$500,Agree,,,Agree,,Neutral,,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Middle East,,< 20,2/5/2013,Web Services,1/25/2013,Back-End Web Developer,1/5/2013,Just me!,System Administrators,Designers,,,Technical Support,,,Customers,,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,,1-2 hours,1-2 hours,2-5 hours,2-5 hours,2-5 hours,5-10 hours,1-2 hours,20+ hours,,,,I can buy anything I want without asking anyone,,,,,Servers,Software,,,,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Node.js,,,,,,,,,,PhoneGap,Windows 7,Don't Care,Not Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Not Very Important,Don't Care,Don't Care,Non-Negotiable,No,Love my job,"<$20,000",,,,,,,,,,,,,,Samsung Wave II,$100-$250,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Careers 2.0,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,20-24,<2,Other,101-999,Student,6/15/2013,1/3/2013,,Designers,,,Technical Support,,,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,,,,Grants / outside fund-raising,,20+ hours,None,1-2 hours,None,None,2-5 hours,2-5 hours,None,,,,,,No Involvement,,,,,,,,,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,,,,Windows 7,,,,,,,,,,,,,,,,,No,It's a paycheck,"<$20,000",,Android,,,,,,,Kindle,,,,,,"$1,001-$2,000",Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,,1,Read other people's questions to solve my problems,,,
Germany,,40-50,11,Other,3001,Manager of Developers or Team Leader,100,4/8/2013,System Administrators,,,,Technical Support,Sales / Marketing,,Customers,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,1-2 hours,1-2 hours,10-20 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,10-20 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,,,,,,Servers,Software,,Consultants,,Don't know,C,,,Java,JavaScript,,,,,,,,SQL,XSL,,,,,,,,,,,,Linux,Non-Negotiable,Somewhat Important,Not Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Very Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,No,It's a paycheck,"$80,000 - $100,000",,,,,,,,,,,,,,Hanlin V3 (E ink reader),$100-$250,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,Don't have an account,Read other people's questions to solve my problems,,,
India,,25-29,6/10/2013,Software Products,26-100,Full-Stack Web Developer,16-30,4/8/2013,,,,,Technical Support,,,,,,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,5-10 hours,5-10 hours,1-2 hours,2-5 hours,5-10 hours,5-10 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,Hardware,Servers,Software,,,,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,,,,Dart,,,,,MongoDB,F#,,Windows 7,Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Somewhat Important,Very Important,Not Very Important,Not Very Important,Not Very Important,Non-Negotiable,Don't Care,Yes,Love my job,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$1,001-$2,000",Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,40-50,11,Software Products,26-100,Manager of Developers or Team Leader,50-100,1/3/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,,Customers,Finance,Human Resources,,,,,,,No mobile app,,,,,,,,Other,2-5 hours,None,1-2 hours,None,1-2 hours,2-5 hours,2-5 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,,C++,C#,,,,,,,,,,,,,,,,,C++11,WinRT,,,,PhoneGap,Windows 7,Very Important,Don't Care,Don't Care,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Very Important,Somewhat Important,Non-Negotiable,Very Important,Not Very Important,Somewhat Important,Yes,I'm not happy in my job,"$40,000 - $60,000",,Android,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,,100,,,Answer questions I know the answer to,Try to R&D and solve others questions even if I do not know the answer to
Other Europe,,25-29,2/5/2013,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,,Designers,,,,,,Customers,,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,,10-20 hours,1-2 hours,5-10 hours,2-5 hours,1-2 hours,1-2 hours,2-5 hours,5-10 hours,,,,,,No Involvement,,,,,,,,,,,,,,jQuery,,,,PHP,,,SQL,,Node.js,,CoffeeScript,,,,,,MongoDB,,PhoneGap,Mac OS X,Very Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Don't Care,Somewhat Important,Very Important,Very Important,Very Important,No,It's a paycheck,"<$20,000",iPhone,,,,iPad,,,,,,PS3,,Wii,,"$501-$1,000",Agree,Neutral,Agree,Disagree,Disagree,Neutral,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,California,25-29,6/10/2013,Web Services,"Other (not working, consultant, etc.)",Student,100,Just me!,System Administrators,Designers,Product Managers,,,Sales / Marketing,,,,Human Resources,,,,,,,No mobile app,,,,Software as a service / recurring billing,Mobile app sales,Consulting,,,10-20 hours,5-10 hours,5-10 hours,1-2 hours,1-2 hours,5-10 hours,5-10 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,Other,Don't know,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,coldfusion,Node.js,,,,,,,,MongoDB,,,Mac OS X,Somewhat Important,Don't Care,Somewhat Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Don't Care,Non-Negotiable,Very Important,Very Important,Non-Negotiable,Yes,Love my job,Student / Unemployed,,Android,Blackberry,,,Android Tablet,,,Kindle,,PS3,,,Nikon DSLR,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,20-24,6/10/2013,Software Products,"Other (not working, consultant, etc.)",Desktop Software Developer,1/5/2013,Just me!,,,,,,,,,,,,,,,,,No mobile app,,,,,,,,,1-2 hours,1-2 hours,1-2 hours,None,None,2-5 hours,2-5 hours,None,,,,,,No Involvement,,,,,,,,,C,,,Java,JavaScript,,,,,,,,,"Scala, Maude",Node.js,Haskell,,,,,,,,,,Windows 7,Very Important,Don't Care,Don't Care,Don't Care,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Somewhat Important,Very Important,Non-Negotiable,No,I wish I had a job!,Student / Unemployed,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Reading it just as I read wikipedia
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,25-29,<2,Web Services,26-100,Full-Stack Web Developer,16-30,Just me!,,Designers,,Testers / Quality Assurance,,,,,,,iPhone,,Android phone,Android tablet,,,,,Direct sales to consumers,,,,,,,20+ hours,1-2 hours,5-10 hours,None,2-5 hours,2-5 hours,20+ hours,1-2 hours,,,,,,No Involvement,,,,,,,,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,MongoDB,,PhoneGap,Windows XP,,Don't Care,,,,,Don't Care,,,,,Don't Care,,,,,Yes,I enjoy going to work,"<$20,000",,,,,,,,,,,,,,,<$100,Agree,Disagree,Agree,Neutral,Disagree,Neutral,,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Asia,,25-29,2/5/2013,Software Products,26-100,Enterprise Level Services,50-100,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,,,,Human Resources,,,,,,,No mobile app,,,,Software as a service / recurring billing,,,,,10-20 hours,2-5 hours,10-20 hours,None,2-5 hours,2-5 hours,5-10 hours,5-10 hours,,,,,,No Involvement,,,,,,,,,,,C#,Java,,,,,,PHP,,,,,,,,,,,,,,,,Other,Non-Negotiable,Don't Care,Don't Care,Somewhat Important,Very Important,Very Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Non-Negotiable,No,I enjoy going to work,"<$20,000",,Android,,,,,,,,,,,,,$100-$250,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,None,5000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,30-34,6/10/2013,Consulting,3001,Full-Stack Web Developer,100,9/15/2013,System Administrators,,,Testers / Quality Assurance,Technical Support,,Consultants,Customers,,,,,,,,,No mobile app,,,,,,Consulting,,,2-5 hours,5-10 hours,5-10 hours,1-2 hours,1-2 hours,5-10 hours,5-10 hours,5-10 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,Java,,,,,,,,,,Groovy,,,,,,,,,,,,Windows XP,Not Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Very Important,Not Very Important,Very Important,Non-Negotiable,Yes,It's a paycheck,"$80,000 - $100,000",iPhone,,,,,,,,Kindle,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Agree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Middle East,,30-34,6/10/2013,Advertising,3001,Manager of Developers or Team Leader,100,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,,,,Human Resources,,,,,,,No mobile app,Advertising,,,,,,,,10-20 hours,2-5 hours,2-5 hours,None,2-5 hours,1-2 hours,1-2 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$25,001 - $100,000",,,,Java,JavaScript,,,,,PHP,,,SQL,Groovy,Node.js,,,,,,,Redis,MongoDB,,,Mac OS X,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Somewhat Important,Very Important,Very Important,No,I enjoy going to work,"$80,000 - $100,000",iPhone,,,,,,,,,,,,,,$251-$500,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,None this year,2000,Read other people's questions to solve my problems,,Answer questions I know the answer to,Learn about new technologies
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Asia,,20-24,2/5/2013,Software Products,1/25/2013,Full-Stack Web Developer,1/5/2013,4/8/2013,,Designers,,,,Sales / Marketing,,Customers,,,iPhone,iPad,Android phone,Android tablet,,,,,Direct sales to consumers,,Software as a service / recurring billing,,,,,10-20 hours,5-10 hours,,5-10 hours,5-10 hours,5-10 hours,5-10 hours,5-10 hours,,,I have a discretionary budget at my disposal,,,,,Hardware,,Software,,,,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,,,CoffeeScript,,,,,Redis,MongoDB,,,Linux,Very Important,Somewhat Important,Very Important,Very Important,Very Important,,Not Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,No,I enjoy going to work,"$20,000 - $40,000",,Android,,,,,,,,,,,Wii,,"$1,001-$2,000",Agree,Agree,Agree,Agree,Neutral,Neutral,"New Relic, Engine yard, ruby mine",2000,,,Answer questions I know the answer to,
Canada,,25-29,2/5/2013,Software Products,1/25/2013,Desktop Software Developer,1/5/2013,Just me!,,,,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,,,,,,,,,,,Direct sales to consumers,,,,,,,20+ hours,1-2 hours,2-5 hours,,,2-5 hours,5-10 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",,C++,,,,,,,,PHP,,,SQL,Delphi,,,,,,,,,,,,Windows 7,Somewhat Important,Somewhat Important,Non-Negotiable,Somewhat Important,Not Very Important,Not Very Important,Somewhat Important,Non-Negotiable,Very Important,Somewhat Important,Don't Care,Somewhat Important,Very Important,Very Important,Don't Care,Don't Care,No,Love my job,"$40,000 - $60,000",,,,,,,,,,,,,,Cell-phone that comes with plan for free,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Cannot recall, I try not to look at them.",100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,New York,25-29,11,Web Services,3001,Back-End Web Developer,100,4/8/2013,System Administrators,,Product Managers,,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,Advertising,,,,,,,,10-20 hours,10-20 hours,2-5 hours,None,1-2 hours,5-10 hours,10-20 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,C++,,,JavaScript,,,,,,Python,,,,,,CoffeeScript,Dart,,C++11,,,MongoDB,,,Linux,Don't Care,Don't Care,Very Important,Very Important,Not Very Important,Very Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Don't Care,Don't Care,No,I enjoy going to work,">$140,000",,Android,,,,Android Tablet,,,,,,,,,"$501-$1,000",Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Asia,,25-29,<2,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,30-34,6/10/2013,Finance / Banking,3001,Full-Stack Web Developer,100,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,,,,,iPhone,iPad,Android phone,Android tablet,Blackberry,,,,Direct sales to consumers,,Software as a service / recurring billing,,,,,10-20 hours,10-20 hours,2-5 hours,2-5 hours,2-5 hours,5-10 hours,2-5 hours,1-2 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,,"$1,001 - $5,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,Node.js,,,,,,,,MongoDB,,,Windows XP,Very Important,Don't Care,Very Important,Very Important,Very Important,Very Important,Don't Care,Don't Care,Very Important,Very Important,Not Very Important,Don't Care,Don't Care,Somewhat Important,Somewhat Important,Somewhat Important,No,I enjoy going to work,"$20,000 - $40,000",iPhone,Android,,,iPad,,,,,,,,,,"$501-$1,000",Agree,Neutral,Agree,Agree,Disagree,,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
